no,구분,전공,본문
1,post,전공,"코로나19라는 펜데믹 상황에서 
사람이 모이면 안되는 상황인지라 실험을 진행하는데 
있어서 조금 불편함은 있었습니다만 최대한 서로 피해를 주지 않는 선에서 수업을 진행해주신 점이 좋았습니다. 
또한 수업 방식, 과제 제출 등에 대해 불편한 점이 생기면 바로 피드백을 주시고 해결점을 찾아주셔서 좋았고 수업 pdf 파일이 누락되는 일이 생겼을 때 늦더라도 꼭 올려주시는 것이 좋았습니다.  다만 공지가 조금 느리다는 생각이 들었고 공지가 조금 더 빨랐으면 좋았겠다 라는 생각이 들었습니다.
KC 대학, 교수님, 교수, !!, Zoom 수업"
2,pre,교양,"3시간이라는 시간이 조금 길 수도 있겠다는 생각이 들지만, 필요한 정보를 많이 얻을 수 있는 값진 시간이었습니다^^"
3,pre,교양,"가장 특이하지만 또 가장 이상적인 모습의 교수님이었습니다 나무가 아닌 숲을 보는 수업 같았고, 학생 한명한명 이름을 외우신거 같았습니다.  다음에 다른 수업에서 꼭 다시 배우고 싶습니다"
4,pre,교양,"각자의 생각이 다르고, 대학에 온 이유도 다를텐데, 동영상 ucc제작을 하는 이유를 잘 모르겠습니다."
5,pre,교양,강사님에 따라 강의 시간이 좋기도 하고 지루하기도 했다.
6,pre,교양,강의 자료인 파워포인트가 가시적인 효과를 내지 못하는 경우가 많았습니다. 빼곡히 적혀있는 피피티 자료는 수업의 집중과 요점을 흐리게 합니다.  또한 교수님 말의 빠른 속도와 샛길로 빠지는 주제가 수업 내용을 혼잡하게 합니다. 토론 역시 어수선하고 난잡한 분위기에서 진행되었습니다.   토론이나 시각자료들이 수업에 적합하게 활용되기를 바랍니다.
7,pre,교양,"같은 시간에 늦어도 어느 날은 지각으로, 어느 날은 출석으로 넘어가서 영향을 받은 학생들이 있지않을까 생각됩니다."
8,pre,교양,"개선되었으면 하는 점 : 매주 수업때마다 교수님이 원하시는 과제를 마음대로 여러개 내주셔서 그것이 매우 벅차고 힘들었고, 과제 내용 또한 부정확하여 과제를 하는 것 또한 힘들었다. 중간고사나 기말고사같은 시험 또한 정확하게 공지를 하지 않으셔서 준비하기 매우 불편하고 힘들었다. 수업은 기독교를 이해하는 것보다 교수님의 책들을 구매하여 과제를 내는 수업으로 느껴졌다."
9,pre,교양,경영학원론에 대해 많은 배움을 받아서 좋았다.
10,pre,교양,고등학교때 이과라서 더이상 역사를 하지않을것이다 생각했는데 대학교를 오자마자 세계사를 배웠습니다ㅠㅜ 그래도 교수님의 수업이 재미있고 조별토의를 하고 노트에 쓰면서  암기가 되는것 같아서 좋았습니다 누군가에게 세계사 아는척하는게 기분좋았어요 다음학기때에도 뵐수있으면좋겠어요
11,pre,교양,과제가 너무 많고 수업이 체계적이지 않은 것이 조금 아쉬웠습니다.
12,pre,교양,과제가 너무 많습니다. 거의 매주 2개의 과제씩 내주셨는데 필수과목에 교양이라 생각하면 지나쳤다고 생각합니다. 이 부분에 학생들의 의견이 있었지만 모두 묵살 하는 모습은 거의 강행식으로 비춰졌습니다. 그 밖에 보충강의는 매우 좋았습니다.
13,pre,교양,과제가 너무 많아요. 전공보다 많아요.
14,pre,교양,과제와 앞으로의 학습내용에 대해 제대로 설명해주신 적도 없었고 수업을 할 때 도통 어떤 내용을 배우는건지 알 수 없었고 교양 과목인데 모든 학생들이 모두를 아는 것처럼 수업을 하셨습니다. 그리고 예고에 없었던 발표와 질문들로 매우 당황스러웠고 수업자료들이 너무나도 준비가 안돼있고 많은 책을 사도록 하십니다. 또 출석하고 바로 나가는 학생들에 대해 전혀 조치가 없었습니다. 다시는 듣고 싶지 않은 수업이었습니다.
15,pre,교양,과제좀 제대로 내주삼
16,pre,교양,교수님 귀여워!
17,pre,교양,교수님 리액션이 너무 좋습니다. 근데 출결을 신경안쓰셔서 학생들이 가끔 출석만 하고 가거나 조원들이 출석번호 알려주더라구요..그거랑 아침 수업만 아니면 좋은것 같습니다
18,pre,교양,교수님 설명에 흐름이 끊겨서 집중이 안되요
19,pre,교양,교수님 수업시간을 알차게 보내게 해주셔서 감사합니다!
20,pre,교양,교수님!  한 학기동안 수고 많으셨습니다.  감사합니다.
21,pre,교양,교수님!  한 학기동안 수고 많으셨습니다.  감사합니다.
22,pre,교양,"교수님,, 진도가 너무 빨라서 힘들었어요ㅠ"
23,pre,교양,교수님께서 설명하시는 부분에 정리 및 요약이 되어있지 않아(너무 장황한 설명으로 인하셔서) 공감을 할 수가 없었습니다.  수업 범위에 근현대부분을 다루는 것이 학생들에게 더 흥미를 가지지 않을까 싶습니다. 고대사 부분은 미래를 향해 나아가는 대부분의 학생들이 흥미를 가지지 못합니다. 현대의상부분에 과목이 있다면 수강을 할 계획입니다.
24,pre,교양,교수님께서 언어문제로 학생들과소통이안되는것같습니다.
25,pre,교양,교수님께서 학생들의 마음을 잘 이해해주셔서 너무 좋습니다
26,pre,교양,"교수님께서 혼내실 때도 전혀 감정적이지 않고, 늘 유쾌하셔서 즐거운 수업이었습니다^^ 감사합니다!"
27,pre,교양,교수님께서 휴대폰을 시험시간에 걷으시지만 그래도 컨닝이 빈번합니다
28,pre,교양,교수님의 꼼꼼하고도 체계적인 수업이 좋았습니다^^
29,pre,교양,"교수님의 넓은 지식을 많이 배울 수 있어서 좋았고, 특히나 과학에 대하여 부정적인 인식이 아닌 좀 더 발전시키고 그것을 어떻게 이용해가면 좋을지에 대하여 고민을 많이 해보게 된 수업이었습니다! 감사합니다^^"
30,pre,교양,교수님의 말의 속도가 다소 빨라 수업을 따라가는데에 있어서 힘이 많이 들었다.  그리고 마이크를 사용하지 않으셔서 교수님의 말씀이 학기 내내 대부분 정확하게 전달도 안되었었다.
31,pre,교양,교수님의 수업을 들으면서 한층 더 성장한 모습이 될 수 있었습니다
32,pre,교양,교수님의 언행이 오히려 학생들과의 소통을 멀어지 하는 요소가 됩니다.   사진사를 쉽고 간단하게 배울 수 있었습니다.
33,pre,교양,교수님이 교재의 내용을 이해하기 쉽게 설명해주시고 과제량도 부담이 많지 않아서 좋았다.
34,pre,교양,교수님이 다른이야기로 새어나가서 이야기가 길어지지 않았으면 좋겠고 컴퓨터를 좀더 연습해서 자료올리고 찾는것을 잘하셨으면 좋겠습니다.
35,pre,교양,교수님이 선거때문에 특강으로 대체한것과 아침마다 늦게 오셨네요
36,pre,교양,교수님이 수업내용을 잘 숙지할수있도록 도움을 주시며 학생들 하나하나를 잘 챙겨주셔서 너무 좋았다
37,pre,교양,교수님이 열정적으로 강의하셨습니다
38,pre,교양,교수님이 출판하신 책을 읽고 독후감 쓰듯이 한 과제로 점수를 매기시는것은 형평성에 어긋난다 생각됩니다 이부분을 시정해주십시오
39,pre,교양,"교수님이 학생들에게 시험을 대한 기준들, 범위에 대해서 말씀을 하시는데에 있어서 자주 바뀌는 점들이 많았고 또  확실하지 않게 전달하지 않고, 학생들의 수준에 맞지 않는 시험을 보게 하셨습니다.수업 방식도 지식을 알기 위해서 가르치는 것 보다는 학생들의 흥미 유발을 위해서 질문이나 지도를 그리게 하는 등 그런 것들은 좋았으나, 율법에 대한 단어라던가 그림자라는 단어라던가 교회를 다니는 학생들에게도 어려운 것들을 네이버에 찾아서 답하게 하는 것들은 너무 어려웠습니다."
40,pre,교양,"교수자의 강의력과 강의자료가 해당 수업 내용을 학습하기에 어려운 점이 많았고, 특히 전달되는 강의의 질이 향상되길 바란다."
41,pre,교양,귀에 수업이 쏙쏙 들어옵니다 ㅎㅎ 너무 재밋는 수업이었고 기억에 남는 수업입니다 다음에도 또 듣고 싶습니다
42,pre,교양,그냥 그렇다.
43,pre,교양,글씨 좀 크게 써주세요
44,pre,교양,기독세계관 수업을 하며 내용과 관점들이 다양하였지만 교수님은 한 생각과 한 입장을 고집하지 아니하고 다양한 관점을 통해 수업내용을 풀어주셨습니다. 이에 감사드리고 학생들이 출석체크를 대리로 해주는 인원들이 많았습니다. 이에 교수님은 심각성을 깨달으시고 수업 끝날 때에 재차 출석체크를 하였지만 출석 후 망가거나 출석체크 한 후 수업을 듣지 않고 끝날즈음에 출석하는 경우가 많아 분위기가 어수선하였던 점이 아쉽습니다. 학생들이 자발적으로 수업에 참여하였으면 좋겠지만 그렇지 못한점 학생들에게 아쉽습니다.
45,pre,교양,나를 되돌아 보고 학습에 대한 동기부여가 되었다.    과제 하나 하나 체크해 주시고 학생들에게 열정을 가지고 강의 준비하시는 모습이 좋았다.  기회가 되면 비판과 사고도 들어보고 싶다.
46,pre,교양,너무 소리를 질러서 수업을 집중하기 쉽지않다
47,pre,교양,너무 수업만 하셔서 다음학기땐 재미있게하셨으면 좋겠어요
48,pre,교양,너무 유익하고 즐거운 수업이었습니다.
49,pre,교양,너무 재미있어요. 영어공부가 재미있어서 좋았어요
50,pre,교양,너무 재밌었어요~~ 교수님도 좋았고!!
51,pre,교양,다 좋았는데 수업도중에 도망가는 학생들 안잡으시는게 마음이 좋지않았습니다
52,pre,교양,다 좋았는데 중간에 나간 사람들 잡게 수업 도중에 재출석 하면 좋겠어요 제발 제발 ...  그것만 나아진다면 수업 다시 들을 의향 있어요
